experiment_id,raw_experiment_id,experiment_source,model,optimizer,dataset_id,repetition,outer_fold,metric,problem_type,reshuffling,mitigation,inner_split,selection_set_size,selection_strategy,test_score_source,score_scale,selected_iteration,selection_score,val_score,test_score,train_score,meta_overfitting,overtuning,relative_overtuning,regret,early_stopped
LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_mlplan,363700_rep1_fold0_smac_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,smac,363700,1,0,roc_auc,binary,,mlplan,,,mlplan_final,retrain,raw,2,0.2360278894166361,0.2360278894166361,0.23956724995711098,0.21641867449320862,0.0035393605404748785,0.03095513810259054,4.510937499999931,0.03095513810259054,
LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_mlplan,363700_rep1_fold0_smac_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,smac,363700,1,0,roc_auc,binary,,mlplan,,,mlplan_final,cv_ensemble,raw,2,0.2360278894166361,0.2360278894166361,0.24354520500943555,0.21641867449320862,0.007517315592799445,0.02901441070509514,1.6786600496277961,0.02901441070509514,
LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_mlplan,363700_rep1_fold0_smac_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,smac,363700,1,0,roc_auc,binary,,mlplan,,,mlplan_final,retrain,normalized,2,0.3136350832709438,0.3136350832709438,0.11669151447384733,0.4246098317722819,-0.19694356879709646,0.08966952416449261,4.510937499999932,0.08966952416449261,
LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_mlplan,363700_rep1_fold0_smac_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,smac,363700,1,0,roc_auc,binary,,mlplan,,,mlplan_final,cv_ensemble,normalized,2,0.3136350832709438,0.3136350832709438,0.10863935679581734,0.4246098317722819,-0.20499572647512648,0.06673736651293541,1.6786600496277964,0.06673736651293541,
LGBM_363700_20260405_160514::363700_rep2_fold0_hebo_roc_auc_mlplan,363700_rep2_fold0_hebo_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,hebo,363700,2,0,roc_auc,binary,,mlplan,,,mlplan_final,retrain,raw,139,0.1924842888290368,0.1924842888290368,0.2708214624881292,0.1429026303645594,0.07833717365909243,0.00776353276353281,0.1643629052525769,0.00776353276353281,
LGBM_363700_20260405_160514::363700_rep2_fold0_hebo_roc_auc_mlplan,363700_rep2_fold0_hebo_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,hebo,363700,2,0,roc_auc,binary,,mlplan,,,mlplan_final,cv_ensemble,raw,139,0.1924842888290368,0.1924842888290368,0.29814814814814805,0.1429026303645594,0.10566385931911126,0.026329534662867915,2.6722891566264906,0.026329534662867915,
LGBM_363700_20260405_160514::363700_rep2_fold0_hebo_roc_auc_mlplan,363700_rep2_fold0_hebo_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,hebo,363700,2,0,roc_auc,binary,,mlplan,,,mlplan_final,retrain,normalized,139,0.2166726243051549,0.2166726243051549,0.05464266619140965,0.28231636718358283,-0.16202995811374526,0.023311352700053606,0.16436290525257688,0.023311352700053606,
LGBM_363700_20260405_160514::363700_rep2_fold0_hebo_roc_auc_mlplan,363700_rep2_fold0_hebo_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,hebo,363700,2,0,roc_auc,binary,,mlplan,,,mlplan_final,cv_ensemble,normalized,139,0.2166726243051549,0.2166726243051549,0.15745436105476654,0.28231636718358283,-0.05921826325038837,0.09372887085868799,2.6722891566264906,0.09372887085868799,
LGBM_363700_20260405_160514::363700_rep2_fold0_smac_roc_auc_mlplan,363700_rep2_fold0_smac_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,smac,363700,2,0,roc_auc,binary,,mlplan,,,mlplan_final,retrain,raw,91,0.19297165576503783,0.19297165576503783,0.26983618233618234,0.1278264882325797,0.07686452657114451,0.006730769230769207,0.39320388349514424,0.006730769230769207,
LGBM_363700_20260405_160514::363700_rep2_fold0_smac_roc_auc_mlplan,363700_rep2_fold0_smac_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,smac,363700,2,0,roc_auc,binary,,mlplan,,,mlplan_final,cv_ensemble,raw,91,0.19297165576503783,0.19297165576503783,0.2989553656220323,0.1278264882325797,0.10598370985699446,0.029320987654321007,1.8999999999999928,0.029320987654321007,
LGBM_363700_20260405_160514::363700_rep2_fold0_smac_roc_auc_mlplan,363700_rep2_fold0_smac_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,smac,363700,2,0,roc_auc,binary,,mlplan,,,mlplan_final,retrain,normalized,91,0.21786566800360802,0.21786566800360802,0.05168419176617333,0.25253215910437704,-0.16618147623743468,0.02021030119408298,0.39320388349514424,0.02021030119408298,
LGBM_363700_20260405_160514::363700_rep2_fold0_smac_roc_auc_mlplan,363700_rep2_fold0_smac_roc_auc_mlplan,LGBM_363700_20260405_160514,LGBM,smac,363700,2,0,roc_auc,binary,,mlplan,,,mlplan_final,cv_ensemble,normalized,91,0.21786566800360802,0.21786566800360802,0.1603279242731577,0.25253215910437704,-0.057537743730450314,0.1043779580797837,1.899999999999993,0.1043779580797837,
