iteration,avg_val_score,retrained_test_score,cv_ensembled_test_score,post_hoc_surrogate_incumbent_iteration,post_hoc_surrogate_incumbent_mean,dataset_id,repetition,outer_fold,optimizer,metric,problem_type,model,mitigation,reshuffling,inner_split,selection_set_size,random_state,outer_n_folds,outer_n_repeats,experiment_source,raw_experiment_id,experiment_id,normalized_avg_val_score,normalized_retrained_test_score,normalized_cv_ensembled_test_score
14,0.3242033486362409,0.2597572482415509,0.2547606793618117,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.49147087987600396,0.1747707329946563,0.12066546402084613
15,0.243194706994329,0.22983144621718998,0.23228684165379998,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.272461475962935,0.08270106221547859,0.06814992984566066
16,0.3453317948592052,0.23552496139989698,0.23593240693086281,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.5485922970373389,0.10021772118493115,0.07666867107636792
17,0.24508322490364076,0.21995625321667522,0.2164715217018356,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2775671433734047,0.05231906050009929,0.031193625977149773
18,0.31620798860874477,0.24944244295762563,0.25883513467147024,0,-0.7610309822502639,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.46985517322790793,0.14303622088803877,0.13018641010222504
19,0.2347893599783959,0.2130511236918854,0.21458440555841474,19,-0.7652106400216041,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.24973735663034285,0.03107475094016003,0.026783924634195214
20,0.30528932315321733,0.24562532166752438,0.24589337793789667,19,-0.7652106400216041,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.44033621865128797,0.13129247212509085,0.09994487873321312
21,0.2724185549799917,0.251576170869789,0.22013853148052842,19,-0.7652106400216041,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.35146906574178605,0.14960084449429345,0.039762477450391104
22,0.3273832028085336,0.2511580030880084,0.25109366958311896,19,-0.7652106400216041,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.5000677153825508,0.1483143102197013,0.11209661254760506
23,0.26916505045049477,0.2243738205524104,0.21950591868244973,19,-0.7652106400216041,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.3426731141841323,0.06591014052912894,0.0382842252956504
24,0.2707012741511796,0.23528907188196946,0.23484945959855885,19,-0.7652106400216041,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.34682634315013994,0.09949198390182788,0.07413810382842252
25,0.30735644317874944,0.279336078229542,0.28350703379653464,19,-0.7652106396794757,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.4459247424856924,0.23500692749224822,0.1878382441371019
26,0.2248336729433139,0.21964530794304338,0.21432707153885744,26,-0.7751663270562327,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.22282184442194788,0.05136240680873554,0.026182601723792533
27,0.2412196499153021,0.21152856407617082,0.2196238634414136,26,-0.7751663270561817,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.26712184719241416,0.026390446658309946,0.03855983162958522
28,0.5,0.5,0.5,26,-0.7751663270560826,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9667426415638452,0.9139011677772645,0.6937261976347965
29,0.24094714359364633,0.2136730142391492,0.2189269171384457,26,-0.7751663270560104,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2663851178033178,0.032988058322887856,0.03693124874724411
30,0.27557140402130964,0.2404357522731172,0.23356278950077203,26,-0.7751663270555837,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.35999289202959395,0.11532625189681378,0.07113148927640833
31,0.24060957945646044,0.21928075141533698,0.2191091954022989,26,-0.775166327055453,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.2654725025690776,0.05024081282575708,0.0373571858087796
