iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning
11,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.24117413502888363,0.7785700540463029,0.2592819300504463,0.8936046511627878,0.2670283048736729,0.8535017221584417,0.018107795021562678,0.025854169844789276,0.028589822065559156,0.034563184667665836,0.028589822065559156,0.034563184667665836,inf,inf,0.7874999999999976,0.7520091848450096
12,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.24117413502888363,0.7785700540463029,0.2592819300504463,0.8936046511627878,0.2670283048736729,0.8535017221584417,0.018107795021562678,0.025854169844789276,0.028589822065559156,0.034563184667665836,0.028589822065559156,0.034563184667665836,inf,inf,0.7874999999999976,0.7520091848450096
13,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2383668584785904,0.7389274602985308,0.2550393650927666,0.7767441860465134,0.25455389746079315,0.5820895522388065,0.016672506614176186,0.01618703898220275,0.02434725710787944,0.022088777254786085,0.02434725710787944,0.022088777254786085,inf,inf,0.6706395348837233,0.48059701492537443
14,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
15,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
16,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
17,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
18,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
19,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
20,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23586155988390634,0.703549209304502,0.25400510796377984,0.7482558139534871,0.2544483610190599,0.5797933409873726,0.018143548079873506,0.01858680113515354,0.02331299997889269,0.021983240813052807,0.02331299997889269,0.021983240813052807,inf,inf,0.642151162790697,0.47830080367394046
