iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning
12,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.1457614577671046,0.237752495936847,0.048298816568047596,0.23599003735990032,0.03998675935120777,0.0023705375077232027,0.0006080789307765233,0.0070603879519597346,0.0035249171538932478,0.0070603879519597346,0.0035249171538932478,inf,inf,0.024741124260354748,0.011055941741145343
13,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.1457614577671046,0.237752495936847,0.048298816568047596,0.23599003735990032,0.03998675935120777,0.0023705375077232027,0.0006080789307765233,0.0070603879519597346,0.0035249171538932478,0.0070603879519597346,0.0035249171538932478,inf,inf,0.024741124260354748,0.011055941741145343
14,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.1457614577671046,0.237752495936847,0.048298816568047596,0.23599003735990032,0.03998675935120777,0.0023705375077232027,0.0006080789307765233,0.0070603879519597346,0.0035249171538932478,0.0070603879519597346,0.0035249171538932478,inf,inf,0.024741124260354748,0.011055941741145343
15,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.1457614577671046,0.237752495936847,0.048298816568047596,0.23599003735990032,0.03998675935120777,0.0023705375077232027,0.0006080789307765233,0.0070603879519597346,0.0035249171538932478,0.0070603879519597346,0.0035249171538932478,inf,inf,0.024741124260354748,0.011055941741145343
16,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.1457614577671046,0.237752495936847,0.048298816568047596,0.23599003735990032,0.03998675935120777,0.0023705375077232027,0.0006080789307765233,0.0070603879519597346,0.0035249171538932478,0.0070603879519597346,0.0035249171538932478,inf,inf,0.024741124260354748,0.011055941741145343
17,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.005772843362813251,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
18,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.005772843362813251,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
19,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.005772843362813251,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
20,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.005772843362813251,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
21,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.23408166099265026,0.141795829619645,0.2414884859742069,0.061390532544379005,0.23823796356882032,0.04703740483283657,0.007406824981556648,0.004156302576170057,0.01079637798931965,0.005772843362813251,0.01079637798931965,0.005772843362813251,inf,inf,0.037832840236686156,0.018106587222774143
