iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning,val_loss
10,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2435396290144893,0.2938223594613927,0.2386284484032337,0.06298723308100801,0.2421955801338202,0.06112295664534477,-0.0049111806112556,-0.001344048880669,0.0079363404183465,0.0097304599278131,0.0079363404183465,0.0097304599278131,inf,inf,0.02124053779233996,0.02621179815209672,0.2435396290144893
11,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2411741350288836,0.28791500518247937,0.2592819300504463,0.11826347305389197,0.2670283048736729,0.12801705756929652,0.0181077950215626,0.0258541698447892,0.0285898220655591,0.0345631846676658,0.0285898220655591,0.0345631846676658,inf,inf,0.07651677776522388,0.09310589907604845,0.2411741350288836
12,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2411741350288836,0.28791500518247937,0.2592819300504463,0.11826347305389197,0.2670283048736729,0.12801705756929652,0.0181077950215626,0.0258541698447892,0.0285898220655591,0.0345631846676658,0.0285898220655591,0.0345631846676658,inf,inf,0.07651677776522388,0.09310589907604845,0.2411741350288836
13,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2383668584785904,0.28090438615644064,0.2550393650927666,0.10690882386171074,0.2545538974607931,0.09441364605543688,0.0166725066141761,0.0161870389822027,0.0243472571078794,0.022088777254786,0.0243472571078794,0.022088777254786,inf,inf,0.06516212857304271,0.05950248756218882,0.2383668584785904
14,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
15,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
16,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
17,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
18,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
19,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
20,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
21,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
22,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2358615598839063,0.27464789746387985,0.2540051079637798,0.10414077505366602,0.2544483610190599,0.09412935323383091,0.0181435480798735,0.0185868011351535,0.0233129999788926,0.0219832408130528,0.0233129999788926,0.0219832408130528,inf,inf,0.06239407976499799,0.05921819474058292,0.2358615598839063
23,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2356714256155597,0.27417307466131935,0.2544694683074066,0.10538357247768627,0.2566646262954598,0.10009950248756214,0.0187980426918468,0.0209932006799,0.0237773603225194,0.0241995060894527,0.0237773603225194,0.0241995060894527,inf,inf,0.06363687718901827,0.06518834399431415,0.2356714256155597
24,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2356714256155597,0.27417307466131935,0.2544694683074066,0.10538357247768627,0.2566646262954598,0.10009950248756214,0.0187980426918468,0.0209932006799,0.0237773603225194,0.0241995060894527,0.0237773603225194,0.0241995060894527,inf,inf,0.06363687718901827,0.06518834399431415,0.2356714256155597
25,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340776530720665,0.27019294234573943,0.2497203284294067,0.09267314427748288,0.2544272537307132,0.09407249466950957,0.0156426753573402,0.0203496006586466,0.0190282204445195,0.0219621335247061,0.0190282204445195,0.0219621335247061,inf,inf,0.05092644898881483,0.059161336176261584,0.2340776530720665
