iteration,avg_val_score,retrained_test_score,cv_ensembled_test_score,dataset_id,repetition,outer_fold,optimizer,metric,problem_type,model,mitigation,reshuffling,inner_split,selection_set_size,random_state,outer_n_folds,outer_n_repeats,experiment_source,raw_experiment_id,experiment_id,normalized_avg_val_score,normalized_retrained_test_score,normalized_cv_ensembled_test_score,val_loss,retrain_test_loss,ensembled_test_loss,normalized_val_loss,normalized_retrain_test_loss,normalized_ensembled_test_loss
0,0.244451530612245,0.2142949047864129,0.2170934122490992,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9836951405507198,0.1952367765162032,0.1959747916243106,0.244451530612245,0.2142949047864129,0.2170934122490992,0.9836951405507198,0.1952367765162032,0.1959747916243106
1,0.2415677684117124,0.2124399553954365,0.2185838051123693,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.957687389281928,0.147327610080309,0.2242325675950394,0.2415677684117124,0.2124399553954365,0.2185838051123693,0.957687389281928,0.147327610080309,0.2242325675950394
2,0.2415677684117124,0.2124399553954365,0.2185838051123693,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.957687389281928,0.147327610080309,0.2242325675950394,0.2415677684117124,0.2124399553954365,0.2185838051123693,0.957687389281928,0.147327610080309,0.2242325675950394
3,0.2373918589174801,0.2149382398353062,0.2181763595814033,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9200261648484696,0.2118526723899197,0.2165074202073574,0.2373918589174801,0.2149382398353062,0.2181763595814033,0.9200261648484696,0.2118526723899197,0.2165074202073574
4,0.2363575865128661,0.2080331103105164,0.2105850060044605,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.910698384826105,0.0335087233453338,0.072575726773733,0.2363575865128661,0.2080331103105164,0.2105850060044605,0.910698384826105,0.0335087233453338,0.072575726773733
5,0.2363575865128661,0.2080331103105164,0.2105850060044605,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.910698384826105,0.0335087233453338,0.072575726773733,0.2363575865128661,0.2080331103105164,0.2105850060044605,0.910698384826105,0.0335087233453338,0.072575726773733
6,0.2364795918367348,0.209148224395265,0.2130296791902556,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9117987127644006,0.0623096095264459,0.1189266110998146,0.2364795918367348,0.209148224395265,0.2130296791902556,0.9117987127644006,0.0623096095264459,0.1189266110998146
7,0.2364795918367348,0.209148224395265,0.2130296791902556,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9117987127644006,0.0623096095264459,0.1189266110998146,0.2364795918367348,0.209148224395265,0.2130296791902556,0.9117987127644006,0.0623096095264459,0.1189266110998146
8,0.2364795918367348,0.209148224395265,0.2130296791902556,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9117987127644006,0.0623096095264459,0.1189266110998146,0.2364795918367348,0.209148224395265,0.2130296791902556,0.9117987127644006,0.0623096095264459,0.1189266110998146
9,0.2364795918367348,0.209148224395265,0.2130296791902556,363700,1,0,smac,roc_auc,binary,LGBM,,False,cv,0.0,78,3,3,LGBM_363700_20260405_160514,363700_rep1_fold0_smac_roc_auc_cv,LGBM_363700_20260405_160514::363700_rep1_fold0_smac_roc_auc_cv,0.9117987127644006,0.0623096095264459,0.1189266110998146,0.2364795918367348,0.209148224395265,0.2130296791902556,0.9117987127644006,0.0623096095264459,0.1189266110998146
