iteration,experiment_id,experiment_source,raw_experiment_id,dataset_id,model,optimizer,metric,problem_type,mitigation,reshuffling,inner_split,selection_set_size,repetition,outer_fold,random_state,outer_n_folds,outer_n_repeats,val_performance,normalized_val_loss,retrain_test_loss,normalized_retrain_test_loss,ensembled_test_loss,normalized_ensembled_test_loss,retrain_meta_overfitting,ensemble_meta_overfitting,retrain_regret,ensemble_regret,retrain_overtuning,ensemble_overtuning,relative_retrain_overtuning,relative_ensemble_overtuning,normalized_retrain_overtuning,normalized_ensemble_overtuning,val_loss
11,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
12,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
13,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
14,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
15,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
16,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2353819584291238,0.273450187504217,0.237752495936847,0.06064286521297036,0.2359900373599003,0.04440653873489681,0.0023705375077232,0.0006080789307765,0.0070603879519597,0.0035249171538932,0.0070603879519597,0.0035249171538932,inf,inf,0.018896169924302035,0.009495380241648789,0.2353819584291238
17,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0057728433628132,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
18,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0057728433628132,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
19,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0057728433628132,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
20,LGBM_363700_20260405_160514::363700_rep0_fold0_hebo_roc_auc_cv,LGBM_363700_20260405_160514,363700_rep0_fold0_hebo_roc_auc_cv,363700,LGBM,hebo,roc_auc,binary,,False,cv,0.0,0,0,78,3,3,0.2340816609926502,0.27020295133623096,0.2414884859742069,0.07064173539713038,0.2382379635688203,0.0504619758351102,0.0074068249815566,0.00415630257617,0.0107963779893196,0.0057728433628132,0.0107963779893196,0.0057728433628132,inf,inf,0.02889504010846201,0.015550817341862169,0.2340816609926502
